Stock,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
S&P 500,143.8111552,131.87778229999998,98.74528781,55.45777399,50.664911,75.98836103,75.08518944,110.1803231,145.3756758,94.00466756,121.53172909999999,120.19783980000001,107.3692768,93.65665728,111.61416270000001,139.5861342,166.15032050000002,225.6671669,206.6453486,217.3909067,229.7921344,271.8515028,355.59682349999997,439.796686,519.6241325,513.3460091,783.1777208999999,1038.4727619999999,1115.730066,999.0541542999999,1435.840181,1608.951637,1614.3663279999998,2044.396596,1864.255397,2285.799469,2661.0238719999998,2990.9706739999997,2692.742357,3333.694919,3694.2294450000004,3389.774288,3510.4890630000004,4009.7209880000005,4761.758712,4080.4440159999995,3023.536149,4142.097493,5129.2007060000005,4771.197675,5081.768478,6022.886090999999,7934.263779000001,7561.163732999999,9105.08192,11138.89826,11823.51076,15516.602030000002,18386.33221,19455.07852,22672.40237,29808.582639999997,28895.11305,37631.50516,40451.507789999996,44483.330389999996,45073.14407,61838.189660000004,75863.68844,100977.3407,129592.2523,156658.0491,142508.9777,125622.0071,98027.81677,125824.3885,139341.4206,146077.8503,168884.3393,178147.1982,113030.2213,142344.8736,163441.9386,166871.563,193388.4309,255553.3081,290115.415,294115.7922,328742.2823,399768.6351,382850.0041
T-Bills,103.08,106.337328,111.1756764,113.74383449999999,114.9608936,116.06451820000001,116.43882620000001,116.6425942,116.84088659999999,117.1943303,117.2851559,117.3291378,117.35847009999999,117.4552908,117.8517024,118.2995389,118.74907720000002,119.2003236,119.65328490000002,120.3323173,121.5627152,122.90294409999998,124.34398119999999,126.1811635,128.29154340000002,130.71946090000003,131.9776357,134.1684645,137.5964687,142.04083469999998,144.5656105,149.2712211,153.8165298,157.3043196,161.6734471,166.70149130000001,172.5443786,179.277923,187.9549744,196.0981237,206.41288500000002,219.9587306,234.66297169999996,245.31667059999998,255.01281200000003,272.1624237,293.3298562,310.9003145,326.3520602,343.0857621,366.8701825,403.32790689999996,448.5812981000001,512.7284237,569.1798231,617.2612887,676.5955301,727.2556204,771.1454971,815.2742981,867.8594903999999,938.242895,1009.080234,1065.689635,1101.976367,1134.8428119999999,1180.066298,1245.1469539999998,1307.68446,1373.755217,1438.6994949999998,1503.5848429999999,1590.228919,1648.630076,1675.9561199999998,1693.218468,1714.002724,1765.5942059999998,1848.179875,1933.9816260000002,1964.6352350000002,1967.2874920000002,1969.844966,1970.43592,1971.421138,1972.7222760000002,1973.767818,1977.912731,1988.000086,2015.633287,2063.403796
T-Bonds,100.8354709,105.0743966,109.84575290000001,107.03495829999999,116.44365970000001,118.6040064,128.0489684,133.7753794,140.48806130000003,142.42559680000002,148.42634119999997,154.9752993,163.3478114,160.0445959,163.7174085,167.7939719,172.1190481,178.667175,184.2565534,185.951155,189.57913080000003,198.4201254,199.27252980000003,198.6840503,203.19019699999998,211.6100742,218.5716297,215.65055299999997,210.7859642,225.11311329999998,220.38794810000002,214.5550918,239.5282397,244.464727,258.3834339,262.7350297,272.52996210000003,274.4890576,282.47103730000003,278.0062408,287.1098879,272.71405649999997,318.40657989999994,349.56870269999996,359.4211185,372.5711318,379.9801137,393.6793604,456.60727689999993,462.49733089999995,458.901041,461.97898349999997,448.16699339999997,484.91317019999997,644.0352424,664.6457191000001,755.9239372999999,950.2907905,1181.061451,1122.474792,1214.782582,1429.721926,1518.8704539999999,1746.7695239999998,1910.295751,2181.76707,2006.425966,2477.550435,2512.944914,2762.709782,3174.945642,2912.878809,3398.0265560000003,3587.3707520000003,4129.652078,4145.15143,4331.2970700000005,4455.498441,4542.87082,5006.694384,6013.104038,5344.6455829999995,5796.959405,6726.521265,6926.404686,6295.785407,6972.341867,7061.8876310000005,7110.653529000001,7309.873866,7308.653673999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
